subjectId,question,optionA,optionB,optionC,optionD,correctOption
physics,The value of permittivity of free space (ε₀) is:,9 × 10⁹ Fm⁻¹,1.6 × 10⁻¹⁹ C,8.85 × 10⁻¹² Fm⁻¹,4π × 10⁻⁷ Hm⁻¹,C
physics,The S.I. unit of electric dipole moment is:,Joule·second,Coulomb·metre,Coulomb·metre⁻¹,Coulomb·Volt,B
physics,Which of the following is the correct vector form of Coulomb's law?,F = (1/4πε₀)(q₁q₂/r)r̂,F = (1/4πε₀)(q₁q₂/|r|³)r,F = (1/4πε₀)(q₁q₂/r³)r̂,F = (1/4πε₀)(q₁q₂/r²),B
physics,Capacity of a capacitor is given by:,C = Q·V,C = Q/V,C = V/Q,C = ½QV,B
physics,Energy stored in a charged capacitor is:,E = CV,E = ½CV,E = ½CV²,E = Q²/C,C
physics,If n capacitors of equal capacitance C₁ are connected in parallel the equivalent capacitance is:,C = C₁/n,C = nC₁,C = n²C₁,C = C₁/n²,B
physics,Dielectric strength of air is approximately:,3 × 10⁶ Vm⁻¹,3 × 10⁸ Vm⁻¹,9 × 10⁹ Vm⁻¹,1.6 × 10⁻¹⁹ Vm⁻¹,A
physics,Intensity of electric field (E) at a point is:,E = F·q,E = F/q,E = q/F,E = ½Fq,B
physics,Surface charge density (σ) is defined as:,σ = Q·A,σ = Q·L,σ = Q/A,σ = Q/V,C
physics,Capacity of an isolated spherical conductor of radius R is:,C = (1/4πε₀)R,C = 4πε₀R,C = 4πε₀R²,C = 4πε₀/R,B
physics,S.I. unit of electric flux is:,Weber,Volt-metre (Vm) or Nm²C⁻¹,Newton/Coulomb,Joule,B
physics,The value of 1/4πε₀ is:,9 × 10⁹ Nm²C⁻²,9 × 10⁻⁹ Nm²C⁻²,8.85 × 10⁻¹² Nm²C⁻²,1.6 × 10⁻¹⁹ Nm²C⁻²,A
physics,Which of the following is correct for charge on an electron?,1.6 × 10⁻¹⁸ C,1.602 × 10⁻¹⁹ C,1.6 × 10⁻⁹ C,9.1 × 10⁻³¹ C,B
physics,Quantisation of charge implies that charge exists as:,Fractions of electron charge,Continuous values,Integral multiples of electronic charge,Any random value,C
physics,Electric field lines inside a charged hollow spherical conductor are:,Radial,Circular,Zero,Infinite,C
physics,The angle between electric field lines and an equipotential surface is:,0°,45°,90°,180°,C
physics,Potential energy of an electric dipole of moment p in electric field E is:,p × E,p·E,-p·E,pE sinθ,C
physics,Torque acting on an electric dipole in a uniform electric field is:,τ = p × E,τ = p·E,τ = pE cosθ,τ = E × p,A
physics,Van de Graaff generator is used to produce:,High current,High voltage,Electromagnetic waves,High magnetic field,B
physics,Three capacitors each of capacity C are connected in series. The equivalent capacity is:,3C,C/3,3/C,1/3C,B
physics,Unit of potential difference is:,Coulomb,Joule,Volt (or Joule/Coulomb),Watt,C
physics,The dielectric constant (K) of a metal is:,0,1,80,Infinite,D
physics,If a dielectric slab is introduced between plates of a capacitor its capacitance:,Increases,Decreases,Remains same,Becomes zero,A
physics,Potential due to a point charge q at distance r is:,V = (1/4πε₀)(q/r),V = (1/4πε₀)(q/r²),V = (1/4πε₀)qr,V = qr²,A
physics,Work done in moving a charge on an equipotential surface is:,Positive,Negative,Zero,Infinite,C
physics,Two point charges +q and -q are placed at a distance d. The potential at the midpoint is:,2kq/d,kq/d²,Zero,4kq/d,C
physics,Gauss's Law states that total flux φ through a closed surface is:,q(enclosed)/ε₀,q(enclosed)·ε₀,q(enclosed)/4πε₀,Zero,A
physics,Unit of linear charge density (λ) is:,Cm⁻¹,Cm⁻²,Cm,C,A
physics,Dimensional formula of capacitance is:,[M⁻¹L⁻²T⁴A²],[ML²T⁻³A⁻¹],[MLT⁻³A⁻¹],[M⁰L⁰T⁰],A
