subjectId,question,optionA,optionB,optionC,optionD,correctOption
chemistry,The half-life period of a first order reaction is independent of:,Initial concentration,Temperature,Catalyst,Pressure,A
chemistry,Which catalyst is used in Haber's process for the manufacture of ammonia?,Fe + Mo,CuO,Al₂O₃,Pt,A
chemistry,Which of the following processes is used for the purification of colloidal solution?,Peptization,Coagulation,Dialysis,Flocculation,C
chemistry,Which gas is adsorbed most by charcoal?,H₂,NH₃,N₂,O₂,B
chemistry,Pyrolusite is an ore of:,Iron,Manganese,Zinc,Cobalt,B
chemistry,The process of reduction of a metal oxide by carbon is called:,Roasting,Smelting,Calcination,Leaching,B
chemistry,Cyanide process is used for the extraction of:,Cu,Ag,Zn,Al,B
chemistry,Acetone is obtained by the oxidation of:,Methanol,Ethanol,2-Propanol,1-Propanol,C
chemistry,The functional group of secondary amine is:,-NH₂,-NH-,-N-,NH₃,B
chemistry,The IUPAC name of CH₃CH(NH₂)CH₃ is:,Propylamine,Propan-2-amine,Isopropylamine,Ethyl methyl amine,B
chemistry,Reaction of primary amine with Grignard reagent yields:,Alkane,Secondary amine,Alcohol,Amide,A
chemistry,Which of the following is the strongest base in aqueous solution?,NH₃,C₂H₅NH₂,(C₂H₅)₂NH,(C₂H₅)₃N,C
chemistry,Hinsberg's reagent is:,Benzene sulphonyl chloride,Benzene sulphonic acid,Acetyl chloride,Benzoyl chloride,A
chemistry,Reaction of acetamide with Br₂/KOH gives:,Acetone,Methyl amine,Acetaldehyde,Ammonia,B
chemistry,Which of the following ions is paramagnetic?,Ag⁺,Cu²⁺,Zn²⁺,Au⁺,B
chemistry,"Coinage metals are:","Cu, Ag, Au","Zn, Cd, Hg","Fe, Co, Ni","Li, Na, K",A
chemistry,Who proposed the coordination theory?,Werner,Pauling,Lewis,Slater,A
chemistry,An example of a double salt is:,Bleaching powder,Potash alum,Hypo,K₄[Fe(CN)₆],B
chemistry,Which of the following is a bidentate ligand?,EDTA,Ethylene diamine,Acetate,Pyridine,B
chemistry,The oxidation number of Pt in [Pt(C₂H₄)Cl₃]⁻ is:,+1,+2,+3,+4,B
chemistry,Which of the following is a vinyl halide?,CH₂=CH-Br,CH₃-CH=CH-Cl,CH₂=CH-CH₂-Cl,CH≡C-Br,A
chemistry,The most abundant carbohydrate in nature is:,Glucose,Starch,Cellulose,Fructose,C
chemistry,Which disaccharide is present in milk?,Sucrose,Lactose,Maltose,Glucose,B
chemistry,The chemical name of Vitamin A is:,Thiamine,Retinol,Ascorbic acid,Calciferol,B
chemistry,Water soluble vitamins are:,A and D,B and C,E and K,A and E,B
chemistry,Insulin is secreted by:,Thyroid,Pancreas,Adrenal,Liver,B
chemistry,Deficiency of Vitamin E causes:,Scurvy,Beri-beri,Anti-fertility,Rickets,C
chemistry,Natural rubber is a polymer of:,Isoprene,Chloroprene,Styrene,Butadiene,A
chemistry,Iodoform test is not given by:,Ethanol,Isopropyl alcohol,Ethanal,Benzyl alcohol,D
chemistry,Butan-2-ol is a:,Primary alcohol,Secondary alcohol,Tertiary alcohol,Dihydric alcohol,B
chemistry,Which of the following is soluble in water?,CHCl₃,CH₃OH,CCl₄,CS₂,B
chemistry,The number of crystal systems is:,7,14,6,4,A
chemistry,Which of the following is a covalent solid?,NaCl,Diamond,Copper,Iron,B
chemistry,The coordination number in hexagonal close packing (hcp) is:,6,8,12,4,C
chemistry,Which of the following is a colligative property?,Viscosity,Surface tension,Osmotic pressure,Refractive index,C
chemistry,"On electrolysis of aqueous NaCl, the product at the cathode is:",Sodium,Chlorine,Hydrogen,Oxygen,C
chemistry,The rate constant of a reaction depends on:,Concentration,Temperature,Time,Pressure,B
chemistry,Hybridization of S in SO₃ is:,sp²,sp³,sp,dsp²,A
chemistry,The maximum covalency of nitrogen is:,3,4,5,6,B
chemistry,The number of unpaired electrons in a molecule of liquid oxygen is:,0,1,2,3,C
chemistry,The most abundant noble gas in the atmosphere is:,He,Ar,Xe,Kr,B
chemistry,"The EMF of the cell Zn|Zn²⁺||Fe²⁺|Fe (Given E°Zn=-0.76V, E°Fe=-0.44V) is:",0.32 V,1.2 V,-0.32 V,-1.2 V,A
chemistry,Which aqueous solution has the highest boiling point?,1% Glucose,1% Sucrose,1% NaCl,1% CaCl₂,D
chemistry,Which is NOT a colligative property?,Osmotic pressure,Depression of freezing point,Elevation of boiling point,Vapour pressure,D
chemistry,Which of the following shows abnormal osmotic pressure?,Urea,Glucose,Sucrose,Common salt,D
chemistry,A solution showing positive or negative deviation from Raoult's law is called:,Ideal solution,Non-ideal solution,Colloidal solution,Suspension,B
chemistry,Isotonic solutions have the same:,Density,Osmotic pressure,Concentration,Viscosity,B
chemistry,The purine base present in RNA is:,Thymine,Uracil,Cytosine,Guanine,D
chemistry,An example of an addition polymer is:,Nylon-6-6,Terylene,PVC,Bakelite,C
chemistry,Which is a thermosetting plastic?,PVC,Polythene,Bakelite,Nylon,C
chemistry,A drug used to reduce fever is called:,Analgesic,Antibiotic,Antipyretic,Antiseptic,C
chemistry,Which of the following is a disaccharide?,Glucose,Fructose,Sucrose,Starch,C
chemistry,The alkali salt of palmitic acid is known as:,Ester,Soap,Alcohol,Aldehyde,B
chemistry,Which type of adsorption forms a multimolecular layer?,Physical adsorption,Chemical adsorption,Both,None,A
chemistry,Impurities present in an ore are called:,Flux,Gangue,Slag,Alloy,B
chemistry,Lutetium (Lu) is a:,Transition element,Lanthanide,Actinide,p-block element,B
chemistry,Elements of 3d transition series have atomic numbers:,21 to 30,22 to 30,21 to 29,21 to 31,A
chemistry,Van Arkel method is used for the purification of:,Ni,Ti,Ag,Cu,B
chemistry,Which metal is NOT obtained by electrolysis?,Na,Mg,Al,Fe,D
chemistry,The number of atoms in a body-centered cubic (bcc) unit cell is:,1,2,4,6,B
chemistry,Which of the following is an amorphous solid?,Graphite,Quartz glass,Glass,NaCl,C
chemistry,The number of Bravais lattices in three dimensions is:,7,14,32,230,B
chemistry,The percentage of free space in a body-centered cubic unit cell is:,26%,32%,48%,24%,B
chemistry,"In electrolysis, oxidation occurs at:",Cathode,Anode,Both,None,B
chemistry,The quantity of electricity required to liberate 32 g of oxygen is:,1 F,2 F,4 F,3 F,C
chemistry,Rust is chemically:,Fe₂O₃,FeO,Hydrated ferric oxide,None,C
chemistry,Chloroform is a:,Primary halide,Trihalogen derivative,Tetrahalogen derivative,Vinyl halide,B
chemistry,The general functional group of alcohols is:,-CHO,-COOH,-OH,-OR,C
chemistry,Which of the following is not a first order reaction?,Decomposition of H₂O₂,Decomposition of N₂O₅,Acid hydrolysis of ester,Base hydrolysis of ester,D
chemistry,The unit of rate constant for a second order reaction is:,s⁻¹,mol L⁻¹ s⁻¹,L mol⁻¹ s⁻¹,L² mol⁻² s⁻¹,C
chemistry,"If rate = k[H]^(1/2)[B]^(1/2), the order of reaction is:",0.5,1,1.5,2,B
chemistry,Freundlich adsorption isotherm is given by:,x/m = k p^(1/n),x/m = k p,x/m = k p^n,x = m k p,A
chemistry,Milk is an example of:,Fat dispersed in water,Water dispersed in fat,Solid dispersed in water,Gas dispersed in liquid,A
chemistry,Which of the following is a lyophilic colloid?,Gold sol,Sulphur sol,Gum,Metal hydroxide,C
chemistry,Acetic acid does not form acetyl chloride with:,PCl₅,PCl₃,SOCl₂,Cl₂,D
chemistry,Acetamide is:,Acidic,Basic,Amphoteric,Neutral,C
chemistry,Tert-butyl amine is a:,Primary amine,Secondary amine,Tertiary amine,Quaternary salt,A
chemistry,Reaction of methyl amine with chloroform and alcoholic KOH gives:,Methyl cyanide,Methyl isocyanide,Methyl chloride,Methanol,B
